tokInt	int
tokVoid	void
tokChar	char
tokIf	if
tokElse	else
tokWhile	while
tokBreak	break
tokReturn	return
tokFor	for
tokExtern	extern
tokStatic	static
tokUnsigned	unsigned
tokGoto	goto
tokDo	do
tokContinue	continue
tokSwitch	switch
tokCase	case

tokConst1	const
tokConst2	__const
tokConst3	__const__
tokVolatile1	volatile
tokVolatile2	__volatile
tokVolatile3	__volatile__
tokLong	long
tokRegister	register
tokSigned1	signed
tokSigned2	__signed
tokSigned3	__signed__
tokAuto	auto
tokInline1	inline
tokInline2	__inline
tokInline3	__inline__
tokRestrict1	restrict
tokRestrict2	__restrict
tokRestrict3	__restrict__
tokExtension	__extension__

tokFloat	float
tokDouble	double
tokBool	_Bool
tokShort	short
tokStruct	struct
tokUnion	union
tokTypedef	typedef
tokDefault	default
tokEnum	enum
tokSizeof	sizeof
tokAttribute1	__attribute
tokAttribute2	__attribute__
tokAlignOf1	__alignof
tokAlignOf2	__alignof__
tokTypeOf1	typeof
tokTypeOf2	__typeof
tokTypeOf3	__typeof__
tokLabel	__label__
tokAsm1	asm
tokAsm2	__asm
tokAsm3	__asm__

tokDefine	define
tokInclude	include
tokIncludeNext	include_next
tokIfDef	ifdef
tokIfNDef	ifndef
tokElIf	elif
tokEndIf	endif
tokDefined	defined
tokUndef	undef
tokError	error
tokWarning	warning
tokLine	line
tokPragma	pragma
tok__LINE__	__LINE__
tok__FILE__	__FILE__
tok__DATE__	__DATE__
tok__TIME__	__TIME__
tok__FUNCTION__	__FUNCTION__
tok__VA_ARGS__	__VA_ARGS__

tok__func__	__func__

tok__nan__	__nan__
tok__snan__	__snan__
tok__inf__	__inf__
